Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1,1138.0,1122.99,715,Long,Expensive,Spring,95.5
2025-03-31,2025-04-07,Pegasus Airlines,8h 20m,1,947.0,931.99,500,Long,Expensive,Spring,113.64
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,788.0,772.99,715,Long,Affordable,Spring,66.13
2025-03-31,2025-04-07,Turkish Airlines,7h 10m,1,947.0,931.99,430,Medium,Expensive,Spring,132.14
2025-03-31,2025-04-07,Air Europa,18h 40m,2,1057.0,1041.99,1120,Long,Expensive,Spring,56.62
2025-03-31,2025-04-07,Pegasus Airlines,11h 25m,1,1077.0,1061.99,685,Long,Expensive,Spring,94.34
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1136.0,1120.99,715,Long,Expensive,Spring,95.33
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1,1274.0,1258.99,475,Long,Expensive,Spring,160.93
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1274.0,1258.99,715,Long,Expensive,Spring,106.91
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1,1077.0,1061.99,475,Long,Expensive,Spring,136.04
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1277.0,1261.99,715,Long,Expensive,Spring,107.16
2025-03-31,2025-04-07,Turkish Airlines,7h 35m,1,947.0,931.99,455,Medium,Expensive,Spring,124.88
2025-03-31,2025-04-07,Turkish Airlines,7h 35m,1,1136.0,1120.99,455,Medium,Expensive,Spring,149.8
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1,1325.0,1309.99,715,Long,Expensive,Spring,111.19
2025-03-31,2025-04-07,MEA,4h 40m,0,1330.0,1314.99,280,Short,Expensive,Spring,285.0
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1,947.0,931.99,715,Long,Expensive,Spring,79.47
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1136.0,1120.99,715,Long,Expensive,Spring,95.33
2025-03-31,2025-04-07,MEA,4h 40m,0,1077.0,1061.99,280,Short,Expensive,Spring,230.79
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1020.0,1004.99,715,Long,Expensive,Spring,85.59
2025-03-31,2025-04-07,Turkish Airlines,9h 20m,1,1020.0,1004.99,560,Long,Expensive,Spring,109.29
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1,1070.0,1054.99,715,Long,Expensive,Spring,89.79
2025-03-31,2025-04-07,MEA,4h 40m,0,1138.0,1122.99,280,Short,Expensive,Spring,243.86
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1248.0,1232.99,715,Long,Expensive,Spring,104.73
2025-03-31,2025-04-07,Turkish Airlines,10h 00m,1,1057.0,1041.99,600,Long,Expensive,Spring,105.7
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1,1253.0,1237.99,715,Long,Expensive,Spring,105.15
2025-03-31,2025-04-07,MEA,4h 40m,0,1342.0,1326.99,280,Short,Expensive,Spring,287.57
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1057.0,1041.99,715,Long,Expensive,Spring,88.7
2025-03-31,2025-04-07,Turkish Airlines,8h 50m,1,1138.0,1122.99,530,Long,Expensive,Spring,128.83
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1,1167.0,1151.99,715,Long,Expensive,Spring,97.93
2025-03-31,2025-04-07,MEA,4h 40m,0,1388.0,1372.99,280,Short,Expensive,Spring,297.43
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1,1187.0,1171.99,715,Long,Expensive,Spring,99.61
2025-03-31,2025-04-07,MEA,4h 40m,0,1373.0,1357.99,280,Short,Expensive,Spring,294.21
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1,1274.0,1258.99,475,Long,Expensive,Spring,160.93
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1274.0,1258.99,715,Long,Expensive,Spring,106.91
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1,1077.0,1061.99,475,Long,Expensive,Spring,136.04
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1277.0,1261.99,715,Long,Expensive,Spring,107.16
2025-03-31,2025-04-07,Turkish Airlines,7h 35m,1,947.0,931.99,455,Medium,Expensive,Spring,124.88
2025-03-31,2025-04-07,Turkish Airlines,7h 35m,1,1136.0,1120.99,455,Medium,Expensive,Spring,149.8
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1,1325.0,1309.99,715,Long,Expensive,Spring,111.19
2025-03-31,2025-04-07,MEA,4h 40m,0,1330.0,1314.99,280,Short,Expensive,Spring,285.0
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1,947.0,931.99,715,Long,Expensive,Spring,79.47
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1246.0,1230.99,715,Long,Expensive,Spring,104.56
2025-03-31,2025-04-07,Turkish Airlines,10h 45m,1,1397.0,1381.99,645,Long,Expensive,Spring,129.95
2025-03-31,2025-04-07,Turkish Airlines,10h 35m,1,1274.0,1258.99,635,Long,Expensive,Spring,120.38
2025-03-31,2025-04-07,Etihad Airways,18h 40m,1,1287.0,1271.99,1120,Long,Expensive,Spring,68.95
2025-03-31,2025-04-07,MEA,4h 40m,0,1187.0,1171.99,280,Short,Expensive,Spring,254.36
2025-03-31,2025-04-07,Etihad Airways,18h 40m,1,1503.0,1487.99,1120,Long,Expensive,Spring,80.52
2025-03-31,2025-04-07,MEA,4h 40m,0,1277.0,1261.99,280,Short,Expensive,Spring,273.64
2025-03-31,2025-04-07,Etihad Airways,18h 40m,1,1277.0,1261.99,1120,Long,Expensive,Spring,68.41
2025-03-31,2025-04-07,MEA,4h 40m,0,1521.0,1505.99,280,Short,Expensive,Spring,325.93
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1,1012.0,996.99,715,Long,Expensive,Spring,84.92
2025-03-31,2025-04-07,Pegasus Airlines,8h 20m,1,1325.0,1309.99,500,Long,Expensive,Spring,159.0
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1,1523.0,1507.99,715,Long,Expensive,Spring,127.8
2025-03-31,2025-04-07,TAROM,7h 55m,1,1330.0,1314.99,475,Long,Expensive,Spring,168.0
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1,1526.0,1510.99,1080,Long,Expensive,Spring,84.78
2025-03-31,2025-04-07,MEA,4h 40m,0,1077.0,1061.99,280,Short,Expensive,Spring,230.79
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1020.0,1004.99,715,Long,Expensive,Spring,85.59
2025-03-31,2025-04-07,Turkish Airlines,7h 10m,1,1057.0,1041.99,430,Medium,Expensive,Spring,147.49
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1,1082.0,1066.99,715,Long,Expensive,Spring,90.8
