Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour
2025-04-07,2025-04-14,flydubai,7h 25m,1,384.0,399.0,445,Long,Cheap,Spring,51.78
2025-04-07,2025-04-14,flydubai,6h 30m,1,384.0,399.0,390,Medium,Cheap,Spring,59.08
2025-04-07,2025-04-14,flydubai,7h 25m,1,384.0,402.66,445,Long,Cheap,Spring,51.78
2025-04-07,2025-04-14,flydubai,6h 30m,1,747.0,770.0,390,Medium,Affordable,Spring,114.92
2025-04-07,2025-04-14,flydubai,8h 25m,1,747.0,456.0,505,Long,Affordable,Spring,88.75
2025-04-07,2025-04-14,flydubai,6h 30m,1,747.0,590.0,390,Medium,Affordable,Spring,114.92
2025-04-07,2025-04-14,MEA,2h 25m,0,747.0,441.0,145,Short,Affordable,Spring,309.1
2025-04-07,2025-04-14,MEA,2h 20m,0,442.0,456.0,140,Short,Cheap,Spring,189.43
2025-04-07,2025-04-14,MEA,2h 25m,0,439.0,586.0,145,Short,Cheap,Spring,181.66
2025-04-07,2025-04-14,MEA,2h 20m,0,556.0,590.0,140,Short,Affordable,Spring,238.29
2025-04-07,2025-04-14,MEA,2h 25m,0,556.0,633.0,145,Short,Affordable,Spring,230.07
2025-04-07,2025-04-14,MEA,2h 20m,0,424.0,442.66,140,Short,Cheap,Spring,181.71
2025-04-07,2025-04-14,MEA,2h 25m,0,563.0,581.66,145,Short,Affordable,Spring,232.97
2025-04-07,2025-04-14,MEA,2h 20m,0,563.0,581.66,140,Short,Affordable,Spring,241.29
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1,442.0,460.66,320,Medium,Cheap,Spring,82.88
2025-04-07,2025-04-14,flydubai,6h 30m,1,442.0,460.66,390,Medium,Cheap,Spring,68.0
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1,653.0,671.66,320,Medium,Affordable,Spring,122.44
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1,659.0,677.66,410,Medium,Affordable,Spring,96.44
2025-04-07,2025-04-14,MEA,2h 25m,0,439.0,457.66,145,Short,Cheap,Spring,181.66
2025-04-07,2025-04-14,flydubai,6h 30m,1,665.0,683.66,390,Medium,Affordable,Spring,102.31
2025-04-07,2025-04-14,MEA,2h 25m,0,703.0,721.66,145,Short,Affordable,Spring,290.9
2025-04-07,2025-04-14,flydubai,6h 30m,1,977.0,995.66,390,Medium,Expensive,Spring,150.31
2025-04-07,2025-04-14,flydubai,7h 25m,1,977.0,995.66,445,Long,Expensive,Spring,131.73
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1,666.0,684.66,410,Medium,Affordable,Spring,97.46
2025-04-07,2025-04-14,MEA,2h 25m,0,556.0,574.66,145,Short,Affordable,Spring,230.07
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1,560.0,578.66,410,Medium,Affordable,Spring,81.95
2025-04-07,2025-04-14,MEA,2h 25m,0,706.0,724.66,145,Short,Affordable,Spring,292.14
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1,706.0,724.66,410,Medium,Affordable,Spring,103.32
2025-04-07,2025-04-14,Qatar Airways,7h 05m,1,653.0,671.66,425,Medium,Affordable,Spring,92.19
2025-04-07,2025-04-14,flydubai,6h 30m,1,539.0,557.66,390,Medium,Affordable,Spring,82.92
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1,544.0,562.66,320,Medium,Affordable,Spring,102.0
2025-04-07,2025-04-14,flydubai,8h 25m,1,384.0,399.0,505,Long,Cheap,Spring,45.62
2025-04-07,2025-04-14,MEA,2h 25m,0,377.0,456.0,145,Short,Cheap,Spring,156.0
2025-04-07,2025-04-14,MEA,2h 20m,0,747.0,770.0,140,Short,Affordable,Spring,320.14
2025-04-07,2025-04-14,flydubai,7h 25m,1,747.0,590.0,445,Long,Affordable,Spring,100.72
2025-04-07,2025-04-14,flydubai,6h 30m,1,442.0,590.0,390,Medium,Cheap,Spring,68.0
2025-04-07,2025-04-14,MEA,2h 25m,0,747.0,633.0,145,Short,Affordable,Spring,309.1
2025-04-07,2025-04-14,MEA,2h 20m,0,439.0,594.0,140,Short,Cheap,Spring,188.14
2025-04-07,2025-04-14,MEA,2h 20m,0,556.0,574.66,140,Short,Affordable,Spring,238.29
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1,443.0,461.66,320,Medium,Cheap,Spring,83.06
2025-04-07,2025-04-14,flydubai,6h 30m,1,560.0,578.66,390,Medium,Affordable,Spring,86.15
2025-04-07,2025-04-14,MEA,2h 25m,0,544.0,562.66,145,Short,Affordable,Spring,225.1
2025-04-07,2025-04-14,MEA,2h 20m,0,560.0,578.66,140,Short,Affordable,Spring,240.0
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1,539.0,557.66,320,Medium,Affordable,Spring,101.06
2025-04-07,2025-04-14,MEA,2h 25m,0,560.0,578.66,145,Short,Affordable,Spring,231.72
2025-04-07,2025-04-14,flydubai,6h 30m,1,706.0,724.66,390,Medium,Affordable,Spring,108.62
2025-04-07,2025-04-14,flydubai,6h 30m,1,568.0,586.66,390,Medium,Affordable,Spring,87.38
2025-04-07,2025-04-14,Qatar Airways,7h 05m,1,539.0,557.66,425,Medium,Affordable,Spring,76.09
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1,573.0,591.66,410,Medium,Affordable,Spring,83.85
2025-04-07,2025-04-14,MEA,2h 25m,0,596.0,614.66,145,Short,Affordable,Spring,246.62
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1,665.0,683.66,410,Medium,Affordable,Spring,97.32
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1,665.0,683.66,320,Medium,Affordable,Spring,124.69
2025-04-07,2025-04-14,Qatar Airways,7h 10m,1,659.0,677.66,430,Medium,Affordable,Spring,91.95
2025-04-07,2025-04-14,MEA,2h 25m,0,659.0,677.66,145,Short,Affordable,Spring,272.69
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1,705.0,723.66,410,Medium,Affordable,Spring,103.17
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1,705.0,723.66,320,Medium,Affordable,Spring,132.19
2025-04-07,2025-04-14,Royal Jordanian,6h 55m,1,653.0,671.66,415,Medium,Affordable,Spring,94.41
2025-04-07,2025-04-14,MEA,2h 25m,0,653.0,671.66,145,Short,Affordable,Spring,270.21
2025-04-07,2025-04-14,Qatar Airways,8h 35m,1,706.0,724.66,515,Long,Affordable,Spring,82.25
2025-04-14,2025-04-21,Qatar Airways,5h 20m,1,435.0,590.0,320,Medium,Cheap,Spring,81.56
2025-04-14,2025-04-21,Egyptair,7h 00m,1,471.0,747.0,420,Medium,Cheap,Spring,67.29
2025-04-14,2025-04-21,Qatar Airways,5h 20m,1,433.0,451.66,320,Medium,Cheap,Spring,81.19
