Departure,Return,Airline,Duration,Transit,Price,Competitor Price
2025-04-07,2025-04-14,flydubai,7h 25m,1 stop,$384,$399
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$384,$399
2025-04-07,2025-04-14,flydubai,7h 25m,1 stop,$384,$770
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$747,$770
2025-04-07,2025-04-14,flydubai,8h 25m,1 stop,$747,$456
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$747,$590
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$747,$441
2025-04-07,2025-04-14,MEA,2h 20m,nonstop,$442,$456
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$439,$586
2025-04-07,2025-04-14,MEA,2h 20m,nonstop,$556,$590
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$556,$633
2025-04-07,2025-04-14,MEA,2h 20m,nonstop,$424,N/A
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$563,N/A
2025-04-07,2025-04-14,MEA,2h 20m,nonstop,$563,N/A
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1 stop,$442,N/A
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$442,N/A
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1 stop,$653,N/A
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1 stop,$659,N/A
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$439,N/A
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$665,N/A
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$703,N/A
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$977,N/A
2025-04-07,2025-04-14,flydubai,7h 25m,1 stop,$977,N/A
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1 stop,$666,N/A
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$556,N/A
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1 stop,$560,N/A
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$706,N/A
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1 stop,$706,N/A
2025-04-07,2025-04-14,Qatar Airways,7h 05m,1 stop,$653,N/A
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$539,N/A
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1 stop,$544,N/A
2025-04-07,2025-04-14,flydubai,7h 25m,1 stop,$384,$399
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$384,$399
2025-04-07,2025-04-14,flydubai,7h 25m,1 stop,$384,$770
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$747,$770
2025-04-07,2025-04-14,flydubai,8h 25m,1 stop,$747,$456
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$747,$590
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$747,$441
2025-04-07,2025-04-14,MEA,2h 20m,nonstop,$442,$456
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$439,$586
2025-04-07,2025-04-14,MEA,2h 20m,nonstop,$556,$590
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$556,$633
2025-04-07,2025-04-14,MEA,2h 20m,nonstop,$424,N/A
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$563,N/A
2025-04-07,2025-04-14,MEA,2h 20m,nonstop,$563,N/A
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1 stop,$442,N/A
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$442,N/A
2025-04-07,2025-04-14,Qatar Airways,5h 20m,1 stop,$653,N/A
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1 stop,$659,N/A
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$439,N/A
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$665,N/A
2025-04-07,2025-04-14,MEA,2h 25m,nonstop,$703,N/A
2025-04-07,2025-04-14,flydubai,6h 30m,1 stop,$977,N/A
2025-04-07,2025-04-14,flydubai,7h 25m,1 stop,$977,N/A
2025-04-07,2025-04-14,Qatar Airways,6h 50m,1 stop,$666,N/A
