Location,Date,Average Temp (°C),Precipitation (mm),Rain
Beirut,2025-04-12,14.995833333333335,7.869999999999998,Yes
Paris,2025-04-12,14.345833333333331,4.42,Yes
Riyadh,2025-04-12,29.787500000000005,0.0,No
Cairo,2025-04-12,18.133333333333333,0.0,No
LA,2025-04-12,17.799999999999997,0.0,No
Istanbul,2025-04-12,7.141666666666666,4.709999999999999,Yes
Beirut,2025-04-13,14.966666666666669,2.43,Yes
Paris,2025-04-13,13.991666666666667,0.9400000000000002,Yes
Riyadh,2025-04-13,28.304166666666664,0.0,No
Cairo,2025-04-13,18.241666666666664,0.06,Yes
LA,2025-04-13,16.2625,0.0,No
Istanbul,2025-04-13,8.0875,0.0,No
Beirut,2025-04-14,13.870833333333335,15.759999999999998,Yes
Paris,2025-04-14,13.8,13.3,Yes
Riyadh,2025-04-14,29.63333333333334,0.0,No
Cairo,2025-04-14,18.641666666666666,0.0,No
LA,2025-04-14,19.45833333333333,0.0,No
Istanbul,2025-04-14,9.004166666666665,0.0,No
Beirut,2025-04-15,14.129166666666665,9.580000000000002,Yes
Paris,2025-04-15,11.4375,3.92,Yes
Riyadh,2025-04-15,28.304166666666664,0.0,No
Cairo,2025-04-15,18.975,0.0,No
LA,2025-04-15,17.916666666666668,0.0,No
Istanbul,2025-04-15,10.7875,0.0,No
Beirut,2025-04-16,16.23333333333333,0.0,No
Paris,2025-04-16,10.866666666666664,0.64,Yes
Riyadh,2025-04-16,28.679166666666664,0.0,No
Cairo,2025-04-16,20.245833333333334,0.0,No
LA,2025-04-16,17.999999999999996,0.0,No
Istanbul,2025-04-16,12.416666666666666,0.0,No
Beirut,2025-04-17,17.366666666666664,0.0,No
Paris,2025-04-17,11.70833333333333,0.04,Yes
Riyadh,2025-04-17,26.566666666666663,0.0,No
Cairo,2025-04-17,21.65,0.0,No
LA,2025-04-17,18.491666666666664,0.0,No
Istanbul,2025-04-17,12.341666666666669,0.0,No
Beirut,2025-04-18,20.30416666666667,0.0,No
Paris,2025-04-18,12.5875,0.0,No
Riyadh,2025-04-18,26.566666666666663,0.0,No
